lat	lon	title	description	icon	iconSize	iconOffset
45.36242	-75.61818	GC1XC99	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Walking Sadie</a><br/>Difficulty: 3.0/5  Terrain: 2.0/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.37962	-75.68553	GC106VA	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Muffin's Revenge</a><br/>Difficulty: 2.0/5  Terrain: 2.5/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.39777	-75.66901	GCHJ24	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Is There a Doctor in the House?</a><br/>Difficulty: 1.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.36195	-75.6184	GC1GVB6	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Sadies Puzzled - Evil</a><br/>Difficulty: 3.5/5  Terrain: 2.0/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.36245	-75.61794	GC16QW2	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Snakes and Ladders</a><br/>Difficulty: 2.5/5  Terrain: 3.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.37777	-75.68598	GCYPAF	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>CORP 6 - You Have to Have Balls</a><br/>Difficulty: 2.0/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.38908	-75.68103	GC1WH6K	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>A Real Straight Shooter</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.36178	-75.68095	GC1GKEG	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Sadies Gone Fishin</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.36055	-75.6187	GC1V32Q	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>paper's first</a><br/>Difficulty: 2.0/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.38583	-75.68445	GC1T2JP	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>The Mighty Maple</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.35543	-75.62507	GCKGH4	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAGE5 - DAWG DAZE</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.3572	-75.62231	GCGJ8B	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>A Canadian Hero</a><br/>Difficulty: 3.5/5  Terrain: 2.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.38745	-75.68372	GCG5XK	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Urban Island</a><br/>Difficulty: 2.5/5  Terrain: 4.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
